ALBE,ALDE,AT,BE,CZ,DE,FR,HR,HU,NL,PL,RO,SI,SK
-0.00487,-0.00261,-0.06977,-0.00562,0.03671,-0.00161,-0.01247,-0.08917,0.10158,-0.00264,0.0906,0.00507,-0.11014,0.19586
-0.06353,-0.06274,-0.09486,-0.0638,-0.05812,-0.06279,-0.06616,-0.06784,0.13374,-0.06268,-0.00938,0.00521,-0.09293,0.00397
0.00487,0.00261,0.06977,0.00562,-0.03671,0.00161,0.01247,0.08917,-0.10158,0.00264,-0.0906,-0.00507,0.11014,-0.19586
0.02599,0.02592,0.04004,0.02602,0.02436,0.02614,0.02622,0.01301,-0.01255,0.02587,0.01397,-0.00105,0.02204,0.0036
0.04644,0.04647,0.0572,0.04643,0.048,0.0468,0.04631,0.02281,-0.00571,0.0464,0.03516,-0.00245,0.03683,0.03168
0.04559,0.04563,0.0558,0.04559,0.04705,0.04595,0.04546,0.0228,-0.00783,0.04557,0.03515,-0.00249,0.03609,0.03167
0.07302,0.07468,0.03605,0.07247,0.11487,0.07591,0.0674,-0.02006,-0.04709,0.07457,0.1174,-0.00053,-0.01347,0.22377
-0.07,-0.07004,-0.07888,-0.07,-0.08093,-0.0705,-0.06986,-0.04031,0.10991,-0.06996,-0.0478,0.00382,-0.06014,-0.07585
-0.07302,-0.07468,-0.03605,-0.07247,-0.11487,-0.07591,-0.0674,0.02006,0.04709,-0.07457,-0.1174,0.00053,0.01347,-0.22377
0.04435,0.04203,0.06262,0.04509,0.00406,0.03982,0.05225,0.12181,-0.06352,0.04234,-0.00588,-0.00683,0.2024,-0.03507
-0.04435,-0.04203,-0.06262,-0.04509,-0.00406,-0.03982,-0.05225,-0.12181,0.06352,-0.04234,0.00588,0.00683,-0.2024,0.03507
0.06619,0.01907,0.00365,0.07628,-0.0037,-0.01029,0.03695,0.00205,-0.00083,0.2173,-0.00608,-0.0001,0.0034,-0.0022
-0.01018,-0.01062,0.00396,-0.01003,0.00814,-0.01034,-0.00869,0.00441,0.00236,-0.01069,-0.06896,0.00017,0.00516,0.00132
-0.01322,-0.01372,0.00311,-0.01304,0.00717,-0.01344,-0.01148,0.00432,0.00252,-0.0138,-0.07601,0.00019,0.00493,0.00157
-0.10552,-0.10691,-0.07135,-0.10504,-0.09005,-0.10686,-0.10075,-0.03209,-0.00425,-0.10699,-0.24689,-0.00015,-0.04436,0.00985
0.10552,0.10691,0.07135,0.10504,0.09005,0.10686,0.10075,0.03209,0.00425,0.10699,0.24689,0.00015,0.04436,-0.00985
-0.04263,-0.04336,-0.02213,-0.04239,-0.01504,-0.04367,-0.04027,-0.00746,0.00134,-0.04329,0.10628,0.0002,-0.01131,0.00876
0.04914,0.0504,0.01565,0.04868,-0.03329,0.04881,0.0447,0.00047,-0.00719,0.05068,0.25075,-0.00078,0.0036,-0.02252
0.04914,0.0504,0.01565,0.04868,-0.01667,0.04881,0.0447,0.00047,-0.00719,0.05068,0.25075,-0.00078,0.0036,-0.02252
-0.0393,-0.03935,-0.03917,-0.03928,-0.04012,-0.03941,-0.03912,-0.03229,-0.0435,-0.03934,-0.04033,0.01476,-0.0364,-0.04098
0.21589,0.21612,0.21572,0.21581,0.2199,0.21642,0.21508,0.18269,0.23725,0.21609,0.21972,-0.0955,0.2026,0.22315
-0.08626,-0.08604,-0.0883,-0.08633,-0.0836,-0.08584,-0.08702,-0.11137,-0.07907,-0.08606,-0.07884,0.22083,-0.09849,-0.07753
0.04546,0.0458,0.04307,0.04536,0.04975,0.04612,0.04433,0.00628,0.05959,0.04576,0.05538,0.42245,0.02728,0.05782
-0.04546,-0.0458,-0.04307,-0.04536,-0.04975,-0.04612,-0.04433,-0.00628,-0.05959,-0.04576,-0.05538,-0.42245,-0.02728,-0.05782
-0.03646,-0.03683,-0.07321,-0.03635,-0.03319,-0.03878,-0.03501,0.02889,-0.01566,-0.03664,-0.02913,-0.00164,0.04934,-0.02387
0.10185,0.10377,0.17055,0.10128,0.12108,0.10868,0.095,-0.08571,0.04906,0.10318,0.09684,0.00443,-0.13994,0.08587
0.03646,0.03683,0.07321,0.03635,0.03319,0.03878,0.03501,-0.02889,0.01566,0.03664,0.02913,0.00164,-0.04934,0.02387
0.09809,0.09872,0.09802,0.09791,0.16171,0.10025,0.09601,0.03092,-0.01682,0.09848,0.04942,-0.00197,0.04921,-0.06306
0.15064,0.15156,0.13865,0.15034,0.16862,0.15241,0.14752,0.07017,0.00481,0.15146,0.17053,-0.00868,0.09907,0.19845
0.16929,0.17051,0.14468,0.16889,0.17252,0.171,0.16515,0.08715,0.04159,0.17049,0.24343,0.00425,0.11023,0.22751
-0.15035,-0.15272,-0.08807,-0.14955,-0.16149,-0.15374,-0.14232,-0.02577,0.01266,-0.1527,-0.23214,0.00165,-0.04161,0.06488
-0.15078,-0.15324,-0.08511,-0.14996,-0.15441,-0.15411,-0.14249,-0.02552,0.01084,-0.15324,-0.25071,0.00144,-0.04072,0.06013
-0.15079,-0.15324,-0.08512,-0.14996,-0.15441,-0.15411,-0.1425,-0.02553,0.01084,-0.15325,-0.25072,0.00144,-0.04072,0.06013
-0.12574,-0.12802,-0.0635,-0.12497,-0.1263,-0.12874,-0.11804,-0.01304,0.01564,-0.12804,-0.22418,0.00185,-0.02468,0.08424
-0.13727,-0.139,-0.10757,-0.13672,-0.20302,-0.14085,-0.13148,-0.01894,0.0346,-0.13877,-0.14545,0.00264,-0.03909,-0.20296
0.1533,0.1537,0.15705,0.15319,0.17845,0.15464,0.15199,0.09258,0.02313,0.15355,0.11986,-0.0061,0.12339,0.11649
-0.09809,-0.09872,-0.09802,-0.09791,-0.16171,-0.10025,-0.09601,-0.03092,0.01682,-0.09848,-0.04942,0.00197,-0.04921,0.06306
0.09675,0.0975,0.09237,0.09652,0.15764,0.09899,0.09424,0.02618,-0.01893,0.09727,0.05883,-0.00187,0.0434,-0.0666
-0.16929,-0.17051,-0.14468,-0.16889,-0.17252,-0.171,-0.16515,-0.08715,-0.04159,-0.17049,-0.24343,-0.00425,-0.11023,-0.22751
0.15035,0.15272,0.08807,0.14955,0.16149,0.15374,0.14232,0.02577,-0.01266,0.1527,0.23214,-0.00165,0.04161,-0.06488
0.15078,0.15324,0.08511,0.14996,0.15441,0.15411,0.14249,0.02552,-0.01084,0.15324,0.25071,-0.00144,0.04072,-0.06013
0.15079,0.15324,0.08512,0.14996,0.15441,0.15411,0.1425,0.02553,-0.01084,0.15325,0.25072,-0.00144,0.04072,-0.06013
0.14771,0.15009,0.08468,0.14691,0.15681,0.15107,0.13966,0.02418,-0.01262,0.15008,0.23258,-0.00158,0.03939,-0.06396
0.12574,0.12802,0.0635,0.12497,0.1263,0.12874,0.11804,0.01304,-0.01564,0.12804,0.22418,-0.00185,0.02468,-0.08424
0.13727,0.139,0.10757,0.13672,0.20302,0.14085,0.13148,0.01894,-0.0346,0.13877,0.14545,-0.00264,0.03909,0.20296
0.13538,0.13672,0.11574,0.13496,0.19347,0.13838,0.13088,0.03389,-0.02364,0.1365,0.12784,-0.00317,0.05587,0.1835
0.26135,0.26152,0.26709,0.26129,0.26527,0.26196,0.26073,0.2275,0.26465,0.26146,0.25721,0.00845,0.25684,0.25948
0.16951,0.17044,0.1696,0.16921,0.18509,0.17161,0.16631,0.00352,0.22072,0.17028,0.18441,0.01151,0.11308,0.19521
