Id,timestep,cb,co,ram,iva,f@mcp,ram@mcp,ALBE,ALDE,AT,BE,CZ,DE,FR,HR,HU,NL,PL,RO,SI,SK
52771443,2022/09/17 22:00:00,Obersielach - Obersielach OSRHU43 OPPOSITE,Obersielach - Obersielach OSRHU41,262.0,0.0,9.84608600000002,252.153914,-0.0349,-0.03444,-0.07833,-0.03506,-0.01443,-0.03571,-0.03629,0.00096,0.00011,-0.03437,-0.0151,8e-05,-3e-05,-0.0051
52771504,2022/09/17 22:00:00,Tauern - Tauern TAPST DIRECT,Tauern - Weissenbach 221,174.0,0.0,80.933272,93.066728,-0.00536,-0.00405,-0.04896,-0.00577,0.01144,-0.00745,-0.00933,-0.007,0.00383,-0.00423,0.00607,0.00039,-0.01182,0.00693
52771508,2022/09/17 22:00:00,Tauern - Tauern TAPST DIRECT,Westtirol 1 - Westtirol 2 WTRHU41,168.0,0.0,87.481976,80.518024,0.00224,0.00346,-0.0486,0.00187,0.01329,-0.00075,-0.00154,-0.00709,0.0037,0.00324,0.00871,0.00038,-0.01182,0.00747
52771578,2022/09/17 22:00:00,Westtirol 1 - Westtirol 2 WTRHU41 DIRECT,Westtirol 2 - Voehringen 411 Westtirol - Voehringen FUESSN W,199.0,0.0,56.993682000000064,142.00631799999994,0.05786,0.05777,-0.0713,0.05797,0.01449,0.03649,0.05729,-0.00322,0.00062,0.05703,0.02025,7e-05,-0.00444,0.00569
52771606,2022/09/17 22:00:00,Zell am Ziller 1 - Zell am Ziller 2 ZZRHU41 DIRECT,Zell am Ziller 1 - Zell am Ziller 2 ZZRHU42,743.0,0.0,-263.9657620000001,1006.965762,-0.10176,-0.10127,-0.00839,-0.10199,-0.03305,-0.11646,-0.10172,0.0083,-0.00229,-0.10054,-0.04118,-0.00024,0.01204,-0.01319
52771720,2022/09/17 22:00:00,Achene - Lonny 380.19 OPPOSITE,Avelgem - Mastaing 380.79 Avelgem - Mastaing 380.79,1315.0,0.0,-1104.078883,2419.078883,-0.22089,-0.06418,0.00566,-0.20556,-0.00888,-0.01871,0.11125,0.00481,-0.00206,-0.11184,-0.01231,-0.00024,0.00807,-0.00502
52772646,2022/09/17 22:00:00,Gramme - Achene 380.10 OPPOSITE,Avelgem - Mastaing 380.79 Avelgem - Mastaing 380.79,1517.0,0.0,1104.078883,412.9211170000001,0.22089,0.06418,-0.00566,0.20556,0.00888,0.01871,-0.11125,-0.00481,0.00206,0.11184,0.01231,0.00024,-0.00807,0.00502
52772838,2022/09/17 22:00:00,Lixhe - Gramme 380.11 DIRECT,Y-Van Eyck (-Andre Dumont - Gramme) 380.12 Y-Andre Dumont (-Gramme - Van Eyck) 380.12 Y-Gramme (-Andre Dumont - Van Eyck) 380.12,1016.0,0.0,-405.632534,1421.632534,-0.40939,-0.03524,0.00276,0.12979,-0.00416,-0.00864,0.04933,0.00225,-0.00096,-0.0281,-0.00577,-0.00011,0.00377,-0.00235
52773172,2022/09/17 22:00:00,PST Van Eyck 2 DIRECT,Achene - Lonny 380.19 Achene - Lonny 19,1783.0,0.0,-522.0508279999998,2305.050828,-0.52257,0.04283,-0.00316,-0.27515,0.00475,0.00975,-0.05716,-0.00256,0.0011,0.01732,0.00656,0.00013,-0.0043,0.00268
52773201,2022/09/17 22:00:00,PST Van Eyck 2 DIRECT,PST Van Eyck 1,1800.0,0.0,-251.20408299999997,2051.204083,-0.4765,0.06797,-0.00515,-0.261,0.00787,0.0162,-0.09485,-0.00425,0.00182,0.04183,0.01086,0.00021,-0.00712,0.00443
52773217,2022/09/17 22:00:00,PST Van Eyck 2 OPPOSITE,Y-Courcelles (-Gramme - Tergnee) 380.31 Y-Gramme (-Courcelles - Tergnee) 380.31 Y-Tergnee (-Courcelles -Gramme) 380.31,1014.0,0.0,279.524682,734.475318,0.47748,-0.05826,0.00459,0.22273,-0.00685,-0.01422,0.08028,0.0037,-0.00158,-0.04662,-0.0095,-0.00019,0.0062,-0.00386
52773224,2022/09/17 22:00:00,PST Van Eyck 2 OPPOSITE,Gramme - Achene 380.10,1049.0,0.0,522.0508279999998,526.9491720000002,0.52257,-0.04283,0.00316,0.27515,-0.00475,-0.00975,0.05716,0.00256,-0.0011,-0.01732,-0.00656,-0.00013,0.0043,-0.00268
52773236,2022/09/17 22:00:00,PST Van Eyck 2 OPPOSITE,PST Van Eyck 1,1045.0,0.0,251.20408299999997,793.795917,0.4765,-0.06797,0.00515,0.261,-0.00787,-0.0162,0.09485,0.00425,-0.00182,-0.04183,-0.01086,-0.00021,0.00712,-0.00443
52773273,2022/09/17 22:00:00,PST Zandvliet 1 DIRECT,PST Zandvliet 2,1293.0,0.0,34.0723110000001,1258.9276889999999,-0.08552,0.03316,-0.00441,-0.18148,0.00633,0.01416,-0.07926,-0.00344,0.00146,0.16996,0.00904,0.00017,-0.00576,0.00361
52773308,2022/09/17 22:00:00,PST Zandvliet 1 OPPOSITE,PST Zandvliet 2,1434.0,0.0,-34.0723110000001,1468.0723110000001,0.08552,-0.03316,0.00441,0.18148,-0.00633,-0.01416,0.07926,0.00344,-0.00146,-0.16996,-0.00904,-0.00017,0.00576,-0.00361
52773861,2022/09/17 22:00:00,PST Van Eyck 2 OPPOSITE,Alegro HVDC,1058.0,0.0,-152.28141899999994,1210.281419,0.0,0.0,0.00451,0.22487,-0.00679,-0.01406,0.08062,0.00367,-0.00157,-0.04227,-0.00941,-0.00018,0.00615,-0.00383
52774676,2022/09/17 22:00:00,Hradec - Rohrsdorf - V446  DIRECT,Hradec - Rohrsdorf - V445  Hradec - Rohrsdorf 445,2183.0,0.0,77.41465999999969,2105.5853400000005,-0.1803,-0.18467,-0.05421,-0.17883,0.14249,-0.18714,-0.16598,-0.01235,0.00898,-0.18478,-0.06852,0.00095,-0.02245,0.01578
52774706,2022/09/17 22:00:00,Liskovec - P. Bystrica  DIRECT,Nosovice - Varin  Nosovice - Varin,182.0,0.0,66.09074200000003,115.90925799999997,0.02247,0.02276,0.01561,0.02237,0.0252,0.02289,0.02146,0.00538,-0.00165,0.02276,0.03697,-0.00025,0.00823,-0.02001
52774764,2022/09/17 22:00:00,Sokolnice - Senice  DIRECT,Krizovany - Sokolnice Sokolnice - Krizovany,245.0,0.0,55.78171400000002,189.21828599999998,0.01924,0.01937,0.01884,0.0192,0.02752,0.01964,0.01881,0.00631,-0.00321,0.01933,0.01166,-0.00041,0.00994,-0.03026
52774765,2022/09/17 22:00:00,Sokolnice - Senice  OPPOSITE,Krizovany - Sokolnice Sokolnice - Krizovany,285.0,0.0,-55.78171400000002,340.781714,-0.01924,-0.01937,-0.01884,-0.0192,-0.02752,-0.01964,-0.01881,-0.00631,0.00321,-0.01933,-0.01166,0.00041,-0.00994,0.03026
52775000,2022/09/17 22:00:00,Y-St.Peter (-Altheim - Simbach) 233/230 OPPOSITE,St. Peter 2 - Simbach 234_230 St. Peter - Altheim_Simbach 234_230 Y-Altheim (-Simbach - St. Peter) 234/230  Y-Simbach (-Altheim - St. Peter) 234/230,279.0,0.0,-120.570344,399.570344,-0.04963,-0.05063,0.01363,-0.04935,-0.01739,-0.04899,-0.0466,0.0005,0.0013,-0.0502,-0.02253,0.00011,-0.00032,-0.00378
52775014,2022/09/17 22:00:00,Y-St.Peter (-Altheim - Simbach) 234/230 OPPOSITE,St. Peter 2 - Altheim 233_230 St. Peter - Altheim_Simbach 233_230 Y-Altheim (-Simbach - St. Peter) 233/230 Y-Simbach (-Altheim - St.Peter) 233/230,279.0,0.0,-120.56148400000001,399.561484,-0.04963,-0.05063,0.01363,-0.04935,-0.01739,-0.04899,-0.0466,0.0005,0.0013,-0.0502,-0.02253,0.00011,-0.00033,-0.00378
52775799,2022/09/17 22:00:00,Laufenburg - Trossingen rt OPPOSITE,Y-Engstlatt (-Kuehmoos - Villingen) gn Y-Kuehmoos (-Engstlatt - Villingen) gn Y-Villingen (-Engstlatt - Kuehmoss) gn,523.0,0.0,383.519091,139.480909,-0.01482,0.00325,-0.00142,-0.01985,0.01404,0.01116,-0.0611,-0.00786,0.00374,-0.00302,0.01373,0.00043,-0.01349,0.00758
52775850,2022/09/17 22:00:00,Hoheneck - Pulverdingen ws DIRECT,Buerstadt - Lambsheim BUERST W,776.0,0.0,301.983022,474.016978,-0.01144,0.02546,0.0135,-0.02111,0.0091,-0.01349,-0.08118,-0.00717,0.00366,0.01242,0.00917,0.00042,-0.01256,0.00619
52775912,2022/09/17 22:00:00,PST Buers BMT37 OPPOSITE,Westtirol 1 - Westtirol 2 WTRHU41,113.0,0.0,191.79537100000002,-78.79537100000002,0.00583,0.01056,-0.0336,0.0045,0.00782,0.01798,-0.00774,-0.00361,0.00161,0.00882,0.00811,0.00018,-0.00602,0.00387
